Scenario,Capacity,AllowOvernight,Day,RouteNo,OrderRoute,Orders,Miles,Cube,DriveHours,DutyHours,Feasible,UsedOvernight
Cap_3000,3000,False,Mon,1,0-104-14-241-85-87-250-109-128-0,8,382,2615,9.55,13.79,True,False
Cap_3000,3000,False,Mon,2,0-178-90-117-217-155-45-223-152-58-80-192-15-168-0,13,269,2261,6.725,13.225,True,False
Cap_3000,3000,False,Mon,3,0-175-258-0,2,402,325,10.05,11.05,True,False
Cap_3000,3000,False,Mon,4,0-180-40-120-76-207-237-67-20-201-32-188-0,11,289,2036,7.225,12.725,True,False
Cap_3000,3000,False,Mon,5,0-251-255-23-70-28-209-244-162-132-0,9,183,2986,4.575,9.413,True,False
Cap_3000,3000,False,Tue,1,0-8-140-72-92-122-51-33-42-239-71-186-163-9-10-34-187-211-0,17,64,2967,1.6,10.1,True,False
Cap_3000,3000,False,Tue,2,0-39-52-74-57-150-50-121-88-176-0,9,351,1691,8.775,13.275,True,False
Cap_3000,3000,False,Tue,3,0-68-243-49-101-29-221-26-212-7-0,9,269,1885,6.725,11.225,True,False
Cap_3000,3000,False,Tue,4,0-105-60-224-153-18-107-125-0,7,396,1789,9.9,13.4,True,False
Cap_3000,3000,False,Tue,5,0-146-4-22-0,3,239,586,5.975,7.475,True,False
Cap_3000,3000,False,Tue,6,0-234-181-182-66-0,4,370,817,9.25,11.25,True,False
Cap_3000,3000,False,Tue,7,0-254-148-216-235-177-133-179-78-108-0,9,254,1802,6.35,10.85,True,False
Cap_3000,3000,False,Wed,1,0-6-138-135-0,3,30,2959,0.75,3.099,True,False
Cap_3000,3000,False,Wed,2,0-225-13-65-62-12-27-173-0,7,275,2997,6.875,10.672,True,False
Cap_3000,3000,False,Wed,3,0-206-43-96-240-38-1-37-0,7,39,1212,0.975,4.475,True,False
Cap_3000,3000,False,Wed,4,0-54-261-171-257-53-156-48-115-0,8,399,2015,9.975,13.975,True,False
Cap_3000,3000,False,Wed,5,0-77-73-24-91-158-260-0,6,93,2906,2.325,5.864,True,False
Cap_3000,3000,False,Wed,6,0-139-205-233-106-193-200-116-149-0,8,287,1457,7.175,11.175,True,False
Cap_3000,3000,False,Wed,7,0-238-167-246-123-248-35-253-55-220-81-231-0,11,309,1646,7.725,13.225,True,False
Cap_3000,3000,False,Thu,1,0-5-25-0,2,42,2820,1.05,2.857,True,False
Cap_3000,3000,False,Thu,2,0-21-113-195-199-136-56-86-194-218-0,9,269,2924,6.725,11.423,True,False
Cap_3000,3000,False,Thu,3,0-127-36-102-61-134-119-166-93-160-0,9,357,1816,8.925,13.425,True,False
Cap_3000,3000,False,Thu,4,0-63-256-197-137-147-227-214-247-0,8,396,1522,9.9,13.9,True,False
Cap_3000,3000,False,Thu,5,0-202-141-185-232-259-154-229-219-100-75-142-0,11,207,1923,5.175,10.675,True,False
Cap_3000,3000,False,Thu,6,0-222-151-170-84-184-159-46-31-95-99-196-0,11,237,1691,5.925,11.425,True,False
Cap_3000,3000,False,Thu,7,0-245-103-215-124-190-131-97-210-183-69-118-79-189-0,13,48,2313,1.2,7.7,True,False
Cap_3000,3000,False,Fri,1,0-2-203-89-165-191-174-242-169-236-82-47-208-59-0,13,135,2972,3.375,9.875,True,False
Cap_3000,3000,False,Fri,2,0-3-110-252-126-230-0,5,222,1588,5.55,8.05,True,False
Cap_3000,3000,False,Fri,3,0-11-0,1,44,3153,1.1,2.676,False,False
