Route,Day,Stops,Miles,Cube_ft3,Capacity_ft3,Util_Pct,Overnight,Drive_h,Duty_h,Feasible,WeeklyMiles,AnnualMiles,Order_IDs,Route_Sequence
Mon_R1,Mon,8,383.0,2307,3200,72.1,No,9.57,13.57,True,5218.0,271336.0,0 -> 64 -> 257 -> 129 -> 224 -> 153 -> 19 -> 157 -> 18 -> 0,"0 (DC-Wilmington,MA) -> 64 (Fairfield, CT) -> 257 (Stamford, CT) -> 129 (Stamford, CT) -> 224 (Stamford, CT) -> 153 (Stamford, CT) -> 19 (Stamford, CT) -> 157 (Old Greenwich, CT) -> 18 (Greenwich, CT) -> 0 (DC-Wilmington,MA)"
Mon_R2,Mon,9,374.0,2279,3200,71.2,No,9.35,13.85,True,5218.0,271336.0,0 -> 85 -> 256 -> 60 -> 171 -> 197 -> 112 -> 226 -> 105 -> 176 -> 0,"0 (DC-Wilmington,MA) -> 85 (Fairfield, CT) -> 256 (Norwalk, CT) -> 60 (Norwalk, CT) -> 171 (Norwalk, CT) -> 197 (Norwalk, CT) -> 112 (Stratford, CT) -> 226 (Stratford, CT) -> 105 (Shelton, CT) -> 176 (Bedford, MA) -> 0 (DC-Wilmington,MA)"
Mon_R3,Mon,9,380.0,1611,3200,50.3,No,9.5,14.0,True,5218.0,271336.0,0 -> 147 -> 107 -> 53 -> 125 -> 156 -> 137 -> 87 -> 161 -> 238 -> 0,"0 (DC-Wilmington,MA) -> 147 (Stamford, CT) -> 107 (Stamford, CT) -> 53 (Stamford, CT) -> 125 (Stamford, CT) -> 156 (Stamford, CT) -> 137 (New Canaan, CT) -> 87 (Wilton, CT) -> 161 (East Hartford, CT) -> 238 (East Hartford, CT) -> 0 (DC-Wilmington,MA)"
Mon_R4,Mon,10,359.0,2005,3200,62.7,No,8.97,13.97,True,5218.0,271336.0,0 -> 94 -> 30 -> 45 -> 115 -> 172 -> 83 -> 227 -> 214 -> 144 -> 247 -> 0,"0 (DC-Wilmington,MA) -> 94 (East Hartford, CT) -> 30 (East Hartford, CT) -> 45 (East Hartford, CT) -> 115 (Plainville, CT) -> 172 (Danbury, CT) -> 83 (Ridgefield, CT) -> 227 (Ridgefield, CT) -> 214 (Danbury, CT) -> 144 (Danbury, CT) -> 247 (Danbury, CT) -> 0 (DC-Wilmington,MA)"
Tue_R1,Tue,2,12.0,2800,3200,87.5,No,0.3,2.15,True,5218.0,271336.0,0 -> 6 -> 135 -> 0,"0 (DC-Wilmington,MA) -> 6 (Tewksbury, MA) -> 135 (Tewksbury, MA) -> 0 (DC-Wilmington,MA)"
Tue_R2,Tue,1,0.0,491,3200,15.3,No,0.0,0.5,True,5218.0,271336.0,0 -> 7 -> 0,"0 (DC-Wilmington,MA) -> 7 (Wilmington, MA) -> 0 (DC-Wilmington,MA)"
Tue_R3,Tue,1,44.0,3153,3200,98.5,No,1.1,2.68,True,5218.0,271336.0,0 -> 11 -> 0,"0 (DC-Wilmington,MA) -> 11 (Weston, MA) -> 0 (DC-Wilmington,MA)"
Tue_R4,Tue,8,215.0,3175,3200,99.2,No,5.38,9.67,True,5218.0,271336.0,0 -> 198 -> 20 -> 65 -> 62 -> 12 -> 27 -> 259 -> 139 -> 0,"0 (DC-Wilmington,MA) -> 198 (Westborough, MA) -> 20 (Westborough, MA) -> 65 (Smithfield, RI) -> 62 (Providence, RI) -> 12 (East Providence, RI) -> 27 (East Providence, RI) -> 259 (North Dartmouth, MA) -> 139 (Duxbury, MA) -> 0 (DC-Wilmington,MA)"
Tue_R5,Tue,17,53.0,3124,3200,97.6,No,1.32,9.82,True,5218.0,271336.0,0 -> 46 -> 31 -> 210 -> 163 -> 9 -> 97 -> 186 -> 215 -> 124 -> 10 -> 34 -> 190 -> 131 -> 221 -> 79 -> 169 -> 82 -> 0,"0 (DC-Wilmington,MA) -> 46 (Cambridge, MA) -> 31 (Cambridge, MA) -> 210 (Cambridge, MA) -> 163 (Cambridge, MA) -> 9 (Cambridge, MA) -> 97 (Cambridge, MA) -> 186 (Cambridge, MA) -> 215 (Boston, MA) -> 124 (Boston, MA) -> 10 (Boston, MA) -> 34 (Boston, MA) -> 190 (Boston, MA) -> 131 (Allston, MA) -> 221 (Chestnut Hill, MA) -> 79 (Boston, MA) -> 169 (Boston, MA) -> 82 (Boston, MA) -> 0 (DC-Wilmington,MA)"
Tue_R6,Tue,12,190.0,2365,3200,73.9,No,4.75,10.75,True,5218.0,271336.0,0 -> 113 -> 138 -> 195 -> 199 -> 56 -> 136 -> 234 -> 66 -> 252 -> 8 -> 1 -> 37 -> 0,"0 (DC-Wilmington,MA) -> 113 (Westford, MA) -> 138 (Lowell, MA) -> 195 (Merrimack, NH) -> 199 (Manchester, NH) -> 56 (Manchester, NH) -> 136 (Manchester, NH) -> 234 (Dover, NH) -> 66 (Wenham, MA) -> 252 (Salem, MA) -> 8 (Lynn, MA) -> 1 (Woburn, MA) -> 37 (Woburn, MA) -> 0 (DC-Wilmington,MA)"
