parameter,param_value,scenario,weekly_total,annual_total
cost_per_mile_van,0.65,Base Case (CW+LS),28727.51,1493830.52
cost_per_mile_van,0.65,Overnight (CW+LS),30583.75,1590355.0
cost_per_mile_van,0.65,Mixed Fleet (Van+ST),31978.17,1662864.84
cost_per_mile_van,0.65,ALNS,28521.87,1483137.24
cost_per_mile_van,0.65,ALNS + Overnight,29420.41,1529861.32
cost_per_mile_van,0.6833,Base Case (CW+LS),28990.99,1507531.48
cost_per_mile_van,0.6833,Overnight (CW+LS),30843.09,1603840.68
cost_per_mile_van,0.6833,Mixed Fleet (Van+ST),32158.31,1672232.12
cost_per_mile_van,0.6833,ALNS,28783.34,1496733.68
cost_per_mile_van,0.6833,ALNS + Overnight,29674.06,1543051.12
cost_per_mile_van,0.7167,Base Case (CW+LS),29254.43,1521230.36
cost_per_mile_van,0.7167,Overnight (CW+LS),31102.41,1617325.32
cost_per_mile_van,0.7167,Mixed Fleet (Van+ST),32338.43,1681598.36
cost_per_mile_van,0.7167,ALNS,29044.8,1510329.6
cost_per_mile_van,0.7167,ALNS + Overnight,29927.76,1556243.52
cost_per_mile_van,0.75,Base Case (CW+LS),29517.91,1534931.32
cost_per_mile_van,0.75,Overnight (CW+LS),31361.75,1630811.0
cost_per_mile_van,0.75,Mixed Fleet (Van+ST),32518.57,1690965.64
cost_per_mile_van,0.75,ALNS,29306.27,1523926.04
cost_per_mile_van,0.75,ALNS + Overnight,30181.41,1569433.32
cost_per_mile_van,0.7833,Base Case (CW+LS),29781.39,1548632.28
cost_per_mile_van,0.7833,Overnight (CW+LS),31621.09,1644296.68
cost_per_mile_van,0.7833,Mixed Fleet (Van+ST),32698.71,1700332.92
cost_per_mile_van,0.7833,ALNS,29567.74,1537522.48
cost_per_mile_van,0.7833,ALNS + Overnight,30435.06,1582623.12
cost_per_mile_van,0.8167,Base Case (CW+LS),30044.83,1562331.16
cost_per_mile_van,0.8167,Overnight (CW+LS),31880.41,1657781.32
cost_per_mile_van,0.8167,Mixed Fleet (Van+ST),32878.83,1709699.16
cost_per_mile_van,0.8167,ALNS,29829.2,1551118.4
cost_per_mile_van,0.8167,ALNS + Overnight,30688.76,1595815.52
cost_per_mile_van,0.85,Base Case (CW+LS),30308.31,1576032.12
cost_per_mile_van,0.85,Overnight (CW+LS),32139.75,1671267.0
cost_per_mile_van,0.85,Mixed Fleet (Van+ST),33058.97,1719066.44
cost_per_mile_van,0.85,ALNS,30090.67,1564714.84
cost_per_mile_van,0.85,ALNS + Overnight,30942.41,1609005.32
cost_per_mile_st,0.72,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.72,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.72,Mixed Fleet (Van+ST),32086.25,1668485.0
cost_per_mile_st,0.72,ALNS,29110.14,1513727.28
cost_per_mile_st,0.72,ALNS + Overnight,29991.16,1559540.32
cost_per_mile_st,0.7583,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.7583,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.7583,Mixed Fleet (Van+ST),32200.15,1674407.8
cost_per_mile_st,0.7583,ALNS,29110.14,1513727.28
cost_per_mile_st,0.7583,ALNS + Overnight,29991.16,1559540.32
cost_per_mile_st,0.7967,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.7967,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.7967,Mixed Fleet (Van+ST),32314.12,1680334.24
cost_per_mile_st,0.7967,ALNS,29110.14,1513727.28
cost_per_mile_st,0.7967,ALNS + Overnight,29991.16,1559540.32
cost_per_mile_st,0.835,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.835,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.835,Mixed Fleet (Van+ST),32428.01,1686256.52
cost_per_mile_st,0.835,ALNS,29110.14,1513727.28
cost_per_mile_st,0.835,ALNS + Overnight,29991.16,1559540.32
cost_per_mile_st,0.8733,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.8733,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.8733,Mixed Fleet (Van+ST),32541.94,1692180.88
cost_per_mile_st,0.8733,ALNS,29110.14,1513727.28
cost_per_mile_st,0.8733,ALNS + Overnight,29991.16,1559540.32
cost_per_mile_st,0.9117,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.9117,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.9117,Mixed Fleet (Van+ST),32655.9,1698106.8
cost_per_mile_st,0.9117,ALNS,29110.14,1513727.28
cost_per_mile_st,0.9117,ALNS + Overnight,29991.16,1559540.32
cost_per_mile_st,0.95,Base Case (CW+LS),29320.28,1524654.56
cost_per_mile_st,0.95,Overnight (CW+LS),31167.22,1620695.44
cost_per_mile_st,0.95,Mixed Fleet (Van+ST),32769.81,1704030.12
cost_per_mile_st,0.95,ALNS,29110.14,1513727.28
cost_per_mile_st,0.95,ALNS + Overnight,29991.16,1559540.32
driver_hourly_wage,28.0,Base Case (CW+LS),27335.53,1421447.56
driver_hourly_wage,28.0,Overnight (CW+LS),29090.38,1512699.76
driver_hourly_wage,28.0,Mixed Fleet (Van+ST),30360.99,1578771.48
driver_hourly_wage,28.0,ALNS,27116.1,1410037.2
driver_hourly_wage,28.0,ALNS + Overnight,27965.79,1454221.08
driver_hourly_wage,29.6667,Base Case (CW+LS),28162.57,1464453.64
driver_hourly_wage,29.6667,Overnight (CW+LS),29955.76,1557699.52
driver_hourly_wage,29.6667,Mixed Fleet (Van+ST),31203.74,1622594.48
driver_hourly_wage,29.6667,ALNS,27947.0,1453244.0
driver_hourly_wage,29.6667,ALNS + Overnight,28809.71,1498104.92
driver_hourly_wage,31.3333,Base Case (CW+LS),28989.52,1507455.04
driver_hourly_wage,31.3333,Overnight (CW+LS),30821.13,1602698.76
