day,route_number,vehicle_type,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,Van,0,0,DC (Wilmington),,07:36,
Mon,1,Van,1,23,Charlestown,08:00,08:50,1676.0
Mon,1,Van,2,175,Burlington,14:13,14:43,160.0
Mon,1,Van,3,258,Burlington,14:43,15:13,165.0
Mon,1,Van,4,0,DC (Wilmington),20:14,,
Mon,2,Van,0,0,DC (Wilmington),,05:12,
Mon,2,Van,1,104,Hartford,08:00,08:30,124.0
Mon,2,Van,2,14,Farmington,08:45,09:29,1479.0
Mon,2,Van,3,241,Bethany,10:14,10:44,153.0
Mon,2,Van,4,85,Fairfield,11:26,11:56,127.0
Mon,2,Van,5,87,Wilton,12:17,12:47,163.0
Mon,2,Van,6,250,Hamden,13:44,14:14,167.0
Mon,2,Van,7,109,Middletown,14:49,15:19,198.0
Mon,2,Van,8,128,Middletown,15:19,15:49,204.0
Mon,2,Van,9,0,DC (Wilmington),18:59,,
Mon,3,Van,0,0,DC (Wilmington),,06:55,
Mon,3,Van,1,201,Marlborough,08:00,08:30,124.0
Mon,3,Van,2,20,Westborough,08:45,09:15,111.0
Mon,3,Van,3,67,Dayville,10:18,10:48,102.0
Mon,3,Van,4,207,Groton,12:03,12:33,145.0
Mon,3,Van,5,237,Groton,12:33,13:03,148.0
Mon,3,Van,6,76,New London,13:11,13:41,631.0
Mon,3,Van,7,120,New London,13:41,14:11,124.0
Mon,3,Van,8,40,Colchester,14:47,15:17,213.0
Mon,3,Van,9,180,Bolton,15:43,16:14,159.0
Mon,3,Van,10,155,Manchester,16:22,16:52,184.0
Mon,3,Van,11,217,Storrs Mansfield,17:18,17:48,220.0
Mon,3,Van,12,0,DC (Wilmington),20:09,,
Mon,4,StraightTruck,0,0,DC (Wilmington),,05:18,
Mon,4,StraightTruck,1,45,East Hartford,08:00,08:30,242.0
Mon,4,StraightTruck,2,223,Hartford,08:36,09:06,144.0
Mon,4,StraightTruck,3,152,Hartford,09:06,09:36,211.0
Mon,4,StraightTruck,4,58,Hartford,09:36,10:06,183.0
Mon,4,StraightTruck,5,80,Hartford,10:08,10:38,110.0
Mon,4,StraightTruck,6,192,Hartford,10:39,11:09,127.0
Mon,4,StraightTruck,7,15,Windsor,11:22,11:52,157.0
Mon,4,StraightTruck,8,168,Windsor Locks,12:00,12:30,170.0
Mon,4,StraightTruck,9,0,DC (Wilmington),15:22,,
Mon,5,StraightTruck,0,0,DC (Wilmington),,07:33,
Mon,5,StraightTruck,1,209,Boston,08:00,08:30,246.0
Mon,5,StraightTruck,2,244,Boston,08:33,09:03,163.0
Mon,5,StraightTruck,3,28,Boston,09:06,09:36,85.0
Mon,5,StraightTruck,4,70,Boston,09:36,10:06,200.0
Mon,5,StraightTruck,5,255,Charlestown,10:09,10:39,120.0
Mon,5,StraightTruck,6,0,DC (Wilmington),11:03,,
Mon,6,StraightTruck,0,0,DC (Wilmington),,07:48,
Mon,6,StraightTruck,1,251,Billerica,08:00,08:30,146.0
Mon,6,StraightTruck,2,32,Weston,08:56,09:26,152.0
Mon,6,StraightTruck,3,188,Weston,09:26,09:56,127.0
Mon,6,StraightTruck,4,117,Auburndale,10:03,10:33,161.0
Mon,6,StraightTruck,5,90,West Roxbury,10:47,11:17,187.0
Mon,6,StraightTruck,6,178,Brighton,11:26,11:56,165.0
Mon,6,StraightTruck,7,162,Boston,12:05,12:35,106.0
Mon,6,StraightTruck,8,132,North Berwick,14:33,15:03,244.0
Mon,6,StraightTruck,9,0,DC (Wilmington),16:49,,
Tue,1,Van,0,0,DC (Wilmington),,08:00,
Tue,1,Van,1,7,Wilmington,08:00,08:30,491.0
Tue,1,Van,2,0,DC (Wilmington),08:30,,
Tue,2,Van,0,0,DC (Wilmington),,04:43,
Tue,2,Van,1,39,West Hartland,08:00,08:30,257.0
Tue,2,Van,2,52,Farmington,09:08,09:38,180.0
Tue,2,Van,3,74,Bethany,10:22,10:52,210.0
Tue,2,Van,4,57,Middletown,11:33,12:03,180.0
Tue,2,Van,5,150,Middletown,12:03,12:33,133.0
Tue,2,Van,6,50,Glastonbury,13:03,13:33,131.0
Tue,2,Van,7,121,Glastonbury,13:33,14:03,243.0
Tue,2,Van,8,88,Manchester,14:11,14:41,131.0
Tue,2,Van,9,176,Bedford,17:09,17:39,226.0
Tue,2,Van,10,0,DC (Wilmington),18:00,,
Tue,3,Van,0,0,DC (Wilmington),,04:05,
Tue,3,Van,1,105,Shelton,08:00,08:30,572.0
Tue,3,Van,2,60,Norwalk,09:09,09:39,110.0
Tue,3,Van,3,153,Stamford,09:54,10:24,149.0
Tue,3,Van,4,224,Stamford,10:24,10:54,276.0
Tue,3,Van,5,18,Greenwich,11:05,11:35,394.0
