day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,06:13,
Mon,1,1,132,North Berwick,08:00,08:30,244.0
Mon,1,2,28,Boston,10:28,10:58,85.0
Mon,1,3,70,Boston,10:58,11:28,200.0
Mon,1,4,209,Boston,11:30,12:00,246.0
Mon,1,5,244,Boston,12:03,12:33,163.0
Mon,1,6,162,Boston,12:36,13:06,106.0
Mon,1,7,90,West Roxbury,13:20,13:50,187.0
Mon,1,8,178,Brighton,13:59,14:29,165.0
Mon,1,9,23,Charlestown,14:39,15:29,1676.0
Mon,1,10,255,Charlestown,15:29,15:59,120.0
Mon,1,11,0,DC (Wilmington),16:23,,
Mon,2,0,0,DC (Wilmington),,02:58,
Mon,2,1,258,Burlington,08:00,08:30,165.0
Mon,2,2,175,Burlington,08:30,09:00,160.0
Mon,2,3,0,DC (Wilmington),14:02,,
Mon,3,0,0,DC (Wilmington),,05:12,
Mon,3,1,104,Hartford,08:00,08:30,124.0
Mon,3,2,14,Farmington,08:45,09:29,1479.0
Mon,3,3,241,Bethany,10:14,10:44,153.0
Mon,3,4,87,Wilton,11:43,12:13,163.0
Mon,3,5,85,Fairfield,12:34,13:04,127.0
Mon,3,6,250,Hamden,13:44,14:14,167.0
Mon,3,7,128,Middletown,14:49,15:19,204.0
Mon,3,8,109,Middletown,15:19,15:49,198.0
Mon,3,9,0,DC (Wilmington),18:59,,
Mon,4,0,0,DC (Wilmington),,07:27,
Mon,4,1,32,Weston,08:00,08:30,152.0
Mon,4,2,188,Weston,08:30,09:00,127.0
Mon,4,3,201,Marlborough,09:19,09:49,124.0
Mon,4,4,20,Westborough,10:04,10:34,111.0
Mon,4,5,180,Bolton,12:10,12:40,159.0
Mon,4,6,155,Manchester,12:49,13:19,184.0
Mon,4,7,45,East Hartford,13:28,13:58,242.0
Mon,4,8,192,Hartford,14:03,14:33,127.0
Mon,4,9,80,Hartford,14:34,15:04,110.0
Mon,4,10,223,Hartford,15:06,15:36,144.0
Mon,4,11,58,Hartford,15:36,16:06,183.0
Mon,4,12,152,Hartford,16:06,16:36,211.0
Mon,4,13,15,Windsor,16:51,17:21,157.0
Mon,4,14,168,Windsor Locks,17:29,17:59,170.0
Mon,4,15,0,DC (Wilmington),20:51,,
Mon,5,0,0,DC (Wilmington),,05:39,
Mon,5,1,217,Storrs Mansfield,08:00,08:30,220.0
Mon,5,2,40,Colchester,09:09,09:39,213.0
Mon,5,3,237,Groton,10:21,10:51,148.0
Mon,5,4,207,Groton,10:51,11:21,145.0
Mon,5,5,120,New London,11:28,11:58,124.0
Mon,5,6,76,New London,11:58,12:28,631.0
Mon,5,7,67,Dayville,13:38,14:08,102.0
Mon,5,8,117,Auburndale,15:41,16:11,161.0
Mon,5,9,251,Billerica,16:39,17:09,146.0
Mon,5,10,0,DC (Wilmington),17:21,,
