ORDERID,TOZIP,DayOfWeek
130,1570,Fri
198,1581,Fri
249,1701,Fri
228,1772,Fri
126,1801,Fri
2,1821,Fri
3,1843,Fri
230,1867,Fri
252,1970,Fri
208,2114,Fri
236,2115,Fri
169,2120,Fri
59,2129,Fri
242,2138,Fri
82,2199,Fri
191,2451,Fri
174,2453,Fri
11,2493,Fri
165,2493,Fri
110,4101,Fri
41,6035,Fri
111,6050,Fri
204,6051,Fri
114,6084,Fri
145,6103,Fri
30,6108,Fri
94,6108,Fri
161,6108,Fri
16,6156,Fri
17,6320,Fri
143,6320,Fri
44,6340,Fri
98,6524,Fri
164,6524,Fri
112,6615,Fri
226,6615,Fri
172,6810,Fri
144,6814,Fri
64,6824,Fri
83,6877,Fri
129,6901,Fri
19,6902,Fri
20,1581,Mon
201,1752,Mon
251,1821,Mon
4,1845,Mon
22,1845,Mon
8,1910,Mon
66,1984,Mon
28,2110,Mon
70,2110,Mon
47,2111,Mon
73,2111,Mon
209,2111,Mon
162,2114,Mon
103,2116,Mon
189,2116,Mon
245,2116,Mon
23,2129,Mon
255,2129,Mon
90,2132,Mon
131,2134,Mon
178,2135,Mon
244,2210,Mon
117,2466,Mon
221,2467,Mon
26,2481,Mon
32,2493,Mon
188,2493,Mon
132,3906,Mon
175,5401,Mon
258,5401,Mon
14,6032,Mon
155,6040,Mon
180,6043,Mon
15,6095,Mon
253,6095,Mon
168,6096,Mon
80,6102,Mon
192,6103,Mon
45,6108,Mon
104,6156,Mon
58,6183,Mon
152,6183,Mon
223,6183,Mon
67,6241,Mon
217,6269,Mon
76,6320,Mon
120,6320,Mon
207,6340,Mon
237,6340,Mon
40,6415,Mon
109,6457,Mon
128,6457,Mon
250,6517,Mon
241,6524,Mon
85,6825,Mon
157,6870,Mon
87,6897,Mon
219,1701,Thu
229,1752,Thu
21,1821,Thu
5,1867,Thu
113,1886,Thu
196,1890,Thu
202,2108,Thu
159,2110,Thu
184,2110,Thu
42,2115,Thu
69,2115,Thu
118,2115,Thu
183,2115,Thu
79,2120,Thu
99,2138,Thu
97,2139,Thu
210,2139,Thu
31,2142,Thu
46,2142,Thu
95,2142,Thu
232,2188,Thu
124,2215,Thu
190,2215,Thu
215,2215,Thu
25,2451,Thu
75,2493,Thu
100,2493,Thu
142,2493,Thu
259,2747,Thu
154,2766,Thu
195,3054,Thu
56,3101,Thu
199,3103,Thu
136,3109,Thu
146,3755,Thu
194,3755,Thu
218,3755,Thu
86,3766,Thu
84,4092,Thu
151,4101,Thu
170,4101,Thu
222,4101,Thu
102,6033,Thu
36,6103,Thu
127,6105,Thu
166,6320,Thu
93,6340,Thu
160,6340,Thu
134,6451,Thu
61,6492,Thu
63,6510,Thu
119,6524,Thu
214,6814,Thu
247,6814,Thu
137,6840,Thu
197,6851,Thu
256,6854,Thu
227,6877,Thu
147,6927,Thu
231,1060,Tue
203,1420,Tue
89,1510,Tue
176,1730,Tue
78,1821,Tue
108,1821,Tue
7,1887,Tue
92,2110,Tue
141,2111,Tue
185,2111,Tue
72,2114,Tue
140,2114,Tue
33,2116,Tue
51,2116,Tue
122,2116,Tue
187,2138,Tue
211,2138,Tue
9,2139,Tue
163,2139,Tue
186,2139,Tue
71,2142,Tue
239,2142,Tue
10,2215,Tue
34,2215,Tue
212,2493,Tue
234,3820,Tue
181,4047,Tue
182,4276,Tue
52,6032,Tue
123,6032,Tue
213,6032,Tue
246,6032,Tue
50,6033,Tue
121,6033,Tue
88,6040,Tue
133,6082,Tue
179,6082,Tue
39,6091,Tue
148,6105,Tue
177,6106,Tue
235,6115,Tue
216,6156,Tue
254,6183,Tue
49,6320,Tue
101,6320,Tue
243,6320,Tue
29,6340,Tue
68,6349,Tue
57,6457,Tue
150,6457,Tue
105,6484,Tue
74,6524,Tue
18,6830,Tue
60,6854,Tue
153,6902,Tue
224,6902,Tue
107,6927,Tue
125,6927,Tue
81,1101,Wed
200,1606,Wed
149,1701,Wed
116,1752,Wed
1,1801,Wed
37,1801,Wed
138,1854,Wed
6,1876,Wed
135,1876,Wed
43,2110,Wed
206,2110,Wed
96,2114,Wed
240,2114,Wed
91,2115,Wed
158,2115,Wed
260,2135,Wed
38,2155,Wed
173,2155,Wed
77,2210,Wed
139,2332,Wed
24,2370,Wed
233,2822,Wed
205,2840,Wed
62,2903,Wed
12,2914,Wed
27,2914,Wed
65,2917,Wed
13,3431,Wed
225,3431,Wed
167,6033,Wed
115,6062,Wed
55,6096,Wed
220,6096,Wed
248,6105,Wed
238,6108,Wed
35,6156,Wed
106,6269,Wed
193,6269,Wed
261,6516,Wed
54,6517,Wed
48,6524,Wed
171,6854,Wed
257,6901,Wed
156,6903,Wed
53,6927,Wed
