day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,07:43,
Mon,1,1,22,North Andover,08:00,08:30,286.0
Mon,1,2,4,North Andover,08:30,09:00,111.0
Mon,1,3,132,North Berwick,10:36,11:06,244.0
Mon,1,4,66,Wenham,12:40,13:10,197.0
Mon,1,5,8,Lynn,13:37,14:07,100.0
Mon,1,6,23,Charlestown,14:24,15:14,1676.0
Mon,1,7,255,Charlestown,15:14,15:44,120.0
Mon,1,8,0,DC (Wilmington),16:08,,
Mon,2,0,0,DC (Wilmington),,07:27,
Mon,2,1,188,Weston,08:00,08:30,127.0
Mon,2,2,32,Weston,08:30,09:00,152.0
Mon,2,3,117,Auburndale,09:08,09:38,161.0
Mon,2,4,26,Wellesley Hills,09:43,10:13,409.0
Mon,2,5,90,West Roxbury,10:27,10:57,187.0
Mon,2,6,221,Chestnut Hill,11:01,11:31,143.0
Mon,2,7,178,Brighton,11:36,12:06,165.0
Mon,2,8,131,Allston,12:10,12:40,142.0
Mon,2,9,103,Boston,12:46,13:16,130.0
Mon,2,10,189,Boston,13:16,13:46,123.0
Mon,2,11,245,Boston,13:46,14:16,227.0
Mon,2,12,70,Boston,14:19,14:49,200.0
Mon,2,13,28,Boston,14:49,15:19,85.0
Mon,2,14,209,Boston,15:21,15:51,246.0
Mon,2,15,47,Boston,15:51,16:21,121.0
Mon,2,16,73,Boston,16:21,16:51,120.0
Mon,2,17,244,Boston,16:54,17:24,163.0
Mon,2,18,162,Boston,17:27,17:57,106.0
Mon,2,19,0,DC (Wilmington),18:22,,
Mon,3,0,0,DC (Wilmington),,04:50,
Mon,3,1,128,Middletown,08:00,08:30,204.0
Mon,3,2,109,Middletown,08:30,09:00,198.0
Mon,3,3,250,Hamden,09:34,10:04,167.0
Mon,3,4,157,Old Greenwich,11:16,11:46,126.0
Mon,3,5,87,Wilton,12:15,12:45,163.0
Mon,3,6,85,Fairfield,13:06,13:36,127.0
Mon,3,7,241,Bethany,14:18,14:48,153.0
Mon,3,8,0,DC (Wilmington),18:27,,
Mon,4,0,0,DC (Wilmington),,02:58,
Mon,4,1,175,Burlington,08:00,08:30,160.0
Mon,4,2,258,Burlington,08:30,09:00,165.0
Mon,4,3,0,DC (Wilmington),14:02,,
Mon,5,0,0,DC (Wilmington),,05:39,
Mon,5,1,217,Storrs Mansfield,08:00,08:30,220.0
Mon,5,2,155,Manchester,08:56,09:26,184.0
Mon,5,3,180,Bolton,09:35,10:05,159.0
Mon,5,4,40,Colchester,10:32,11:02,213.0
Mon,5,5,120,New London,11:38,12:08,124.0
Mon,5,6,76,New London,12:08,12:38,631.0
Mon,5,7,207,Groton,12:45,13:15,145.0
Mon,5,8,237,Groton,13:15,13:45,148.0
Mon,5,9,67,Dayville,15:00,15:30,102.0
Mon,5,10,20,Westborough,16:33,17:03,111.0
Mon,5,11,201,Marlborough,17:18,17:48,124.0
Mon,5,12,0,DC (Wilmington),18:52,,
Mon,6,0,0,DC (Wilmington),,07:48,
Mon,6,1,251,Billerica,08:00,08:30,146.0
Mon,6,2,45,East Hartford,11:04,11:34,242.0
Mon,6,3,223,Hartford,11:40,12:10,144.0
Mon,6,4,152,Hartford,12:10,12:40,211.0
Mon,6,5,58,Hartford,12:40,13:10,183.0
Mon,6,6,80,Hartford,13:12,13:42,110.0
Mon,6,7,14,Farmington,13:58,14:43,1479.0
Mon,6,8,104,Hartford,14:58,15:28,124.0
Mon,6,9,192,Hartford,15:29,15:59,127.0
Mon,6,10,253,Windsor,16:13,16:43,94.0
Mon,6,11,15,Windsor,16:43,17:13,157.0
Mon,6,12,168,Windsor Locks,17:20,17:50,170.0
Mon,6,13,0,DC (Wilmington),20:43,,
Tue,1,0,0,DC (Wilmington),,05:05,
Tue,1,1,121,Glastonbury,08:00,08:30,243.0
Tue,1,2,50,Glastonbury,08:30,09:00,131.0
Tue,1,3,150,Middletown,09:30,10:00,133.0
Tue,1,4,57,Middletown,10:00,10:30,180.0
Tue,1,5,74,Bethany,11:11,11:41,210.0
Tue,1,6,213,Farmington,12:26,12:56,154.0
Tue,1,7,52,Farmington,12:56,13:26,180.0
Tue,1,8,123,Farmington,13:26,13:56,151.0
Tue,1,9,246,Farmington,13:56,14:26,129.0
Tue,1,10,39,West Hartland,15:03,15:33,257.0
Tue,1,11,0,DC (Wilmington),18:49,,
Tue,2,0,0,DC (Wilmington),,05:15,
Tue,2,1,88,Manchester,08:00,08:30,131.0
Tue,2,2,254,Hartford,08:42,09:12,111.0
Tue,2,3,148,Hartford,09:15,09:45,496.0
Tue,2,4,216,Hartford,09:47,10:17,263.0
Tue,2,5,235,Hartford,10:17,10:47,105.0
Tue,2,6,177,Hartford,10:51,11:21,164.0
Tue,2,7,133,Enfield,11:57,12:27,121.0
Tue,2,8,179,Enfield,12:27,12:57,135.0
Tue,2,9,231,Northampton,13:40,14:10,151.0
Tue,2,10,203,Fitchburg,15:52,16:22,444.0
Tue,2,11,176,Bedford,17:14,17:44,226.0
Tue,2,12,0,DC (Wilmington),18:05,,
Tue,3,0,0,DC (Wilmington),,07:02,
Tue,3,1,89,Clinton,08:00,08:30,390.0
Tue,3,2,68,Groton,10:42,11:12,81.0
Tue,3,3,243,New London,11:22,11:52,89.0
Tue,3,4,49,New London,11:52,12:22,256.0
Tue,3,5,101,New London,12:22,12:52,103.0
Tue,3,6,29,Groton,13:00,13:30,199.0
Tue,3,7,212,Weston,16:03,16:33,114.0
Tue,3,8,78,Billerica,16:59,17:29,146.0
Tue,3,9,108,Billerica,17:29,17:59,261.0
Tue,3,10,0,DC (Wilmington),18:11,,
Tue,4,0,0,DC (Wilmington),,04:05,
Tue,4,1,105,Shelton,08:00,08:30,572.0
Tue,4,2,60,Norwalk,09:09,09:39,110.0
Tue,4,3,224,Stamford,09:54,10:24,276.0
Tue,4,4,153,Stamford,10:24,10:54,149.0
Tue,4,5,18,Greenwich,11:05,11:35,394.0
Tue,4,6,107,Stamford,11:50,12:20,106.0
Tue,4,7,125,Stamford,12:20,12:50,182.0
Tue,4,8,0,DC (Wilmington),17:29,,
Tue,5,0,0,DC (Wilmington),,07:33,
Tue,5,1,122,Boston,08:00,08:30,283.0
Tue,5,2,33,Boston,08:30,09:00,247.0
Tue,5,3,51,Boston,09:00,09:30,135.0
Tue,5,4,141,Boston,09:33,10:03,123.0
Tue,5,5,185,Boston,10:03,10:33,158.0
Tue,5,6,92,Boston,10:35,11:05,226.0
Tue,5,7,140,Boston,11:06,11:36,136.0
Tue,5,8,72,Boston,11:36,12:06,199.0
Tue,5,9,71,Cambridge,12:09,12:39,164.0
Tue,5,10,239,Cambridge,12:39,13:09,122.0
Tue,5,11,186,Cambridge,13:11,13:41,131.0
Tue,5,12,163,Cambridge,13:41,14:11,119.0
Tue,5,13,9,Cambridge,14:11,14:41,182.0
Tue,5,14,10,Boston,14:45,15:15,203.0
Tue,5,15,34,Boston,15:15,15:45,301.0
Tue,5,16,187,Cambridge,15:51,16:21,143.0
Tue,5,17,211,Cambridge,16:21,16:51,141.0
Tue,5,18,0,DC (Wilmington),17:17,,
Tue,6,0,0,DC (Wilmington),,08:00,
Tue,6,1,7,Wilmington,08:00,08:30,491.0
Tue,6,2,234,Dover,09:56,10:26,237.0
Tue,6,3,181,Parsonsfield,11:41,12:11,243.0
Tue,6,4,182,Rumford,14:12,14:42,140.0
Tue,6,5,0,DC (Wilmington),18:52,,
Wed,1,0,0,DC (Wilmington),,07:51,
Wed,1,1,6,Tewksbury,08:00,09:21,2699.0
