day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,07:51,
Mon,1,1,5,Reading,08:00,08:30,206.0
Mon,1,2,25,Waltham,08:56,10:14,2614.0
Mon,1,3,108,Billerica,10:35,11:05,261.0
Mon,1,4,0,DC (Wilmington),11:17,,
Mon,2,0,0,DC (Wilmington),,08:00,
Mon,2,1,7,Wilmington,08:00,08:30,491.0
Mon,2,2,0,DC (Wilmington),08:30,,
Mon,3,0,0,DC (Wilmington),,05:18,
Mon,3,1,45,East Hartford,08:00,08:30,242.0
Mon,3,2,246,Farmington,08:51,09:21,129.0
Mon,3,3,243,New London,10:51,11:21,89.0
Mon,3,4,233,Exeter,12:10,12:40,151.0
Mon,3,5,205,Newport,13:12,13:42,366.0
Mon,3,6,259,North Dartmouth,14:22,14:52,131.0
Mon,3,7,12,East Providence,15:30,16:00,608.0
Mon,3,8,62,Providence,16:04,16:34,241.0
Mon,3,9,65,Smithfield,16:49,17:19,212.0
Mon,3,10,0,DC (Wilmington),19:04,,
Mon,4,0,0,DC (Wilmington),,07:24,
Mon,4,1,66,Wenham,08:00,08:30,197.0
Mon,4,2,252,Salem,08:42,09:12,181.0
Mon,4,3,8,Lynn,09:22,09:52,100.0
Mon,4,4,23,Charlestown,10:09,10:59,1676.0
Mon,4,5,99,Cambridge,11:10,11:40,172.0
Mon,4,6,38,Medford,11:47,12:17,143.0
Mon,4,7,196,Winchester,12:22,12:52,250.0
Mon,4,8,1,Woburn,12:58,13:28,333.0
Mon,4,9,0,DC (Wilmington),13:41,,
Mon,5,0,0,DC (Wilmington),,07:27,
Mon,5,1,75,Weston,08:00,08:30,122.0
Mon,5,2,174,Waltham,08:36,09:06,182.0
Mon,5,3,26,Wellesley Hills,09:13,09:43,409.0
Mon,5,4,117,Auburndale,09:49,10:19,161.0
Mon,5,5,178,Brighton,10:28,10:58,165.0
Mon,5,6,10,Boston,11:04,11:34,203.0
Mon,5,7,131,Allston,11:38,12:08,142.0
Mon,5,8,9,Cambridge,12:09,12:39,182.0
Mon,5,9,31,Cambridge,12:41,13:11,173.0
Mon,5,10,42,Boston,13:15,13:45,135.0
Mon,5,11,79,Boston,13:47,14:17,148.0
Mon,5,12,82,Boston,14:18,14:48,161.0
Mon,5,13,33,Boston,14:50,15:20,247.0
Mon,5,14,77,Boston,15:24,15:54,157.0
Mon,5,15,47,Boston,15:57,16:27,121.0
Mon,5,16,28,Boston,16:29,16:59,85.0
Mon,5,17,72,Boston,17:00,17:30,199.0
Mon,5,18,0,DC (Wilmington),17:56,,
Mon,6,0,0,DC (Wilmington),,07:10,
Mon,6,1,232,Weymouth,08:00,08:30,146.0
Mon,6,2,24,Rockland,08:42,09:44,2077.0
Mon,6,3,139,Duxbury,10:08,10:38,176.0
Mon,6,4,154,Norton,11:32,12:02,345.0
Mon,6,5,90,West Roxbury,12:46,13:16,187.0
Mon,6,6,221,Chestnut Hill,13:20,13:50,143.0
Mon,6,7,202,Boston,13:59,14:29,121.0
Mon,6,8,0,DC (Wilmington),14:56,,
Mon,7,0,0,DC (Wilmington),,06:35,
Mon,7,1,234,Dover,08:00,08:30,237.0
Mon,7,2,132,North Berwick,08:54,09:24,244.0
Mon,7,3,181,Parsonsfield,10:22,10:52,243.0
Mon,7,4,182,Rumford,12:54,13:24,140.0
Mon,7,5,84,Westbrook,15:09,15:39,175.0
Mon,7,6,110,Portland,15:50,16:20,177.0
Mon,7,7,0,DC (Wilmington),18:48,,
Tue,1,0,0,DC (Wilmington),,07:27,
Tue,1,1,11,Weston,08:00,09:35,3153.0
Tue,1,2,0,DC (Wilmington),10:08,,
Tue,2,0,0,DC (Wilmington),,07:43,
Tue,2,1,22,North Andover,08:00,08:30,286.0
Tue,2,2,239,Cambridge,09:12,09:42,122.0
Tue,2,3,92,Boston,09:45,10:15,226.0
Tue,2,4,209,Boston,10:17,10:47,246.0
Tue,2,5,122,Boston,10:50,11:20,283.0
Tue,2,6,173,Medford,11:30,12:00,96.0
Tue,2,7,176,Bedford,12:23,12:53,226.0
Tue,2,8,251,Billerica,13:02,13:32,146.0
Tue,2,9,0,DC (Wilmington),13:44,,
Tue,3,0,0,DC (Wilmington),,04:24,
Tue,3,1,54,Hamden,08:00,08:30,283.0
Tue,3,2,63,New Haven,08:36,09:06,112.0
Tue,3,3,261,West Haven,09:17,09:47,130.0
Tue,3,4,105,Shelton,10:06,10:36,572.0
Tue,3,5,112,Stratford,10:52,11:22,181.0
Tue,3,6,83,Ridgefield,12:12,12:42,172.0
Tue,3,7,144,Danbury,12:52,13:22,147.0
Tue,3,8,48,Bethany,14:13,14:43,396.0
Tue,3,9,0,DC (Wilmington),18:22,,
Tue,4,0,0,DC (Wilmington),,05:39,
Tue,4,1,106,Storrs Mansfield,08:00,08:30,186.0
Tue,4,2,114,Tolland,08:45,09:15,78.0
Tue,4,3,30,East Hartford,09:42,10:12,205.0
Tue,4,4,36,Hartford,10:16,10:46,102.0
Tue,4,5,58,Hartford,10:48,11:18,183.0
Tue,4,6,17,New London,12:34,13:04,343.0
Tue,4,7,29,Groton,13:12,13:42,199.0
Tue,4,8,68,Groton,13:51,14:21,81.0
Tue,4,9,67,Dayville,15:30,16:00,102.0
Tue,4,10,130,Webster,16:27,16:57,336.0
Tue,4,11,0,DC (Wilmington),18:42,,
Tue,5,0,0,DC (Wilmington),,03:30,
Tue,5,1,137,New Canaan,08:00,08:30,195.0
Tue,5,2,53,Stamford,08:43,09:13,112.0
Tue,5,3,156,Stamford,09:17,09:47,197.0
Tue,5,4,18,Greenwich,10:00,10:30,394.0
Tue,5,5,19,Stamford,10:41,11:11,896.0
Tue,5,6,129,Stamford,11:12,11:42,88.0
Tue,5,7,197,Norwalk,11:59,12:29,348.0
Tue,5,8,64,Fairfield,12:44,13:14,143.0
Tue,5,9,0,DC (Wilmington),17:22,,
Tue,6,0,0,DC (Wilmington),,05:22,
Tue,6,1,180,Bolton,08:00,08:30,159.0
Tue,6,2,88,Manchester,08:39,09:09,131.0
Tue,6,3,50,Glastonbury,09:17,09:47,131.0
Tue,6,4,57,Middletown,10:17,10:47,180.0
Tue,6,5,61,Wallingford,11:05,11:35,103.0
Tue,6,6,204,New Britain,11:59,12:29,423.0
Tue,6,7,115,Plainville,12:39,13:09,286.0
Tue,6,8,213,Farmington,13:17,13:47,154.0
Tue,6,9,177,Hartford,14:00,14:30,164.0
Tue,6,10,235,Hartford,14:35,15:05,105.0
Tue,6,11,16,Hartford,15:05,15:35,255.0
Tue,6,12,127,Hartford,15:36,16:06,127.0
Tue,6,13,0,DC (Wilmington),18:54,,
Tue,7,0,0,DC (Wilmington),,07:25,
Tue,7,1,215,Boston,08:00,08:30,178.0
Tue,7,2,210,Cambridge,08:34,09:04,401.0
