day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,05:32,
Mon,1,1,110,Portland,08:00,08:30,177.0
Mon,1,2,84,Westbrook,08:41,09:11,175.0
Mon,1,3,182,Rumford,10:56,11:26,140.0
Mon,1,4,181,Parsonsfield,13:27,13:57,243.0
Mon,1,5,132,North Berwick,14:56,15:26,244.0
Mon,1,6,234,Dover,15:50,16:20,237.0
Mon,1,7,7,Wilmington,17:45,18:15,491.0
Mon,1,8,0,DC (Wilmington),18:15,,
Mon,2,0,0,DC (Wilmington),,07:51,
Mon,2,1,5,Reading,08:00,08:30,206.0
Mon,2,2,66,Wenham,08:57,09:27,197.0
Mon,2,3,252,Salem,09:39,10:09,181.0
Mon,2,4,8,Lynn,10:19,10:49,100.0
Mon,2,5,31,Cambridge,11:08,11:38,173.0
Mon,2,6,23,Charlestown,11:41,12:31,1676.0
Mon,2,7,196,Winchester,12:41,13:11,250.0
Mon,2,8,1,Woburn,13:17,13:47,333.0
Mon,2,9,0,DC (Wilmington),14:01,,
Mon,3,0,0,DC (Wilmington),,07:30,
Mon,3,1,42,Boston,08:00,08:30,135.0
Mon,3,2,90,West Roxbury,08:41,09:11,187.0
Mon,3,3,154,Norton,09:54,10:24,345.0
Mon,3,4,139,Duxbury,11:18,11:48,176.0
Mon,3,5,24,Rockland,12:12,13:14,2077.0
Mon,3,6,232,Weymouth,13:26,13:56,146.0
Mon,3,7,47,Boston,14:20,14:50,121.0
Mon,3,8,0,DC (Wilmington),15:17,,
Mon,4,0,0,DC (Wilmington),,07:48,
Mon,4,1,108,Billerica,08:00,08:30,261.0
Mon,4,2,25,Waltham,08:51,10:09,2614.0
Mon,4,3,0,DC (Wilmington),10:38,,
Mon,5,0,0,DC (Wilmington),,05:18,
Mon,5,1,45,East Hartford,08:00,08:30,242.0
Mon,5,2,246,Farmington,08:51,09:21,129.0
Mon,5,3,243,New London,10:51,11:21,89.0
Mon,5,4,233,Exeter,12:10,12:40,151.0
Mon,5,5,205,Newport,13:12,13:42,366.0
Mon,5,6,259,North Dartmouth,14:22,14:52,131.0
Mon,5,7,12,East Providence,15:30,16:00,608.0
Mon,5,8,62,Providence,16:04,16:34,241.0
Mon,5,9,65,Smithfield,16:49,17:19,212.0
Mon,5,10,0,DC (Wilmington),19:04,,
Mon,6,0,0,DC (Wilmington),,07:35,
Mon,6,1,28,Boston,08:00,08:30,85.0
Mon,6,2,77,Boston,08:33,09:03,157.0
Mon,6,3,72,Boston,09:06,09:36,199.0
Mon,6,4,202,Boston,09:38,10:08,121.0
Mon,6,5,33,Boston,10:09,10:39,247.0
Mon,6,6,82,Boston,10:41,11:11,161.0
Mon,6,7,79,Boston,11:12,11:42,148.0
Mon,6,8,221,Chestnut Hill,11:48,12:18,143.0
Mon,6,9,26,Wellesley Hills,12:29,12:59,409.0
Mon,6,10,75,Weston,13:06,13:36,122.0
Mon,6,11,174,Waltham,13:42,14:12,182.0
Mon,6,12,117,Auburndale,14:17,14:47,161.0
Mon,6,13,178,Brighton,14:56,15:26,165.0
Mon,6,14,10,Boston,15:32,16:02,203.0
Mon,6,15,131,Allston,16:05,16:35,142.0
Mon,6,16,9,Cambridge,16:36,17:06,182.0
Mon,6,17,99,Cambridge,17:09,17:39,172.0
Mon,6,18,38,Medford,17:47,18:17,143.0
Mon,6,19,0,DC (Wilmington),18:35,,
Tue,1,0,0,DC (Wilmington),,07:42,
Tue,1,1,173,Medford,08:00,08:30,96.0
Tue,1,2,239,Cambridge,08:41,09:11,122.0
Tue,1,3,92,Boston,09:14,09:44,226.0
Tue,1,4,209,Boston,09:45,10:15,246.0
Tue,1,5,122,Boston,10:18,10:48,283.0
Tue,1,6,169,Boston,10:51,11:21,202.0
Tue,1,7,236,Boston,11:23,11:53,221.0
Tue,1,8,210,Cambridge,11:56,12:26,401.0
Tue,1,9,215,Boston,12:30,13:00,178.0
Tue,1,10,149,Framingham,13:32,14:02,137.0
Tue,1,11,20,Westborough,14:20,14:50,111.0
Tue,1,12,228,Southborough,15:00,15:30,119.0
Tue,1,13,116,Marlborough,15:35,16:05,164.0
Tue,1,14,176,Bedford,16:41,17:11,226.0
Tue,1,15,251,Billerica,17:20,17:50,146.0
Tue,1,16,0,DC (Wilmington),18:02,,
Tue,2,0,0,DC (Wilmington),,07:43,
Tue,2,1,22,North Andover,08:00,08:30,286.0
Tue,2,2,0,DC (Wilmington),08:47,,
Tue,3,0,0,DC (Wilmington),,07:27,
Tue,3,1,11,Weston,08:00,09:35,3153.0
Tue,3,2,0,DC (Wilmington),10:08,,
Tue,4,0,0,DC (Wilmington),,06:15,
Tue,4,1,130,Webster,08:00,08:30,336.0
Tue,4,2,67,Dayville,08:57,09:27,102.0
Tue,4,3,106,Storrs Mansfield,10:06,10:36,186.0
Tue,4,4,180,Bolton,10:57,11:27,159.0
Tue,4,5,88,Manchester,11:36,12:06,131.0
Tue,4,6,50,Glastonbury,12:13,12:43,131.0
Tue,4,7,58,Hartford,12:55,13:25,183.0
Tue,4,8,127,Hartford,13:28,13:58,127.0
Tue,4,9,16,Hartford,14:00,14:30,255.0
Tue,4,10,235,Hartford,14:30,15:00,105.0
Tue,4,11,177,Hartford,15:04,15:34,164.0
Tue,4,12,36,Hartford,15:39,16:09,102.0
Tue,4,13,30,East Hartford,16:13,16:43,205.0
Tue,4,14,114,Tolland,17:10,17:40,78.0
Tue,4,15,0,DC (Wilmington),20:03,,
Tue,5,0,0,DC (Wilmington),,05:00,
Tue,5,1,204,New Britain,08:00,08:30,423.0
Tue,5,2,48,Bethany,09:12,09:42,396.0
Tue,5,3,112,Stratford,10:18,10:48,181.0
Tue,5,4,19,Stamford,11:27,11:57,896.0
Tue,5,5,18,Greenwich,12:08,12:38,394.0
Tue,5,6,129,Stamford,12:48,13:18,88.0
Tue,5,7,197,Norwalk,13:35,14:05,348.0
Tue,5,8,64,Fairfield,14:20,14:50,143.0
Tue,5,9,0,DC (Wilmington),18:59,,
Tue,6,0,0,DC (Wilmington),,04:50,
Tue,6,1,57,Middletown,08:00,08:30,180.0
Tue,6,2,61,Wallingford,08:48,09:18,103.0
Tue,6,3,54,Hamden,09:35,10:05,283.0
Tue,6,4,261,West Haven,10:18,10:48,130.0
Tue,6,5,63,New Haven,10:59,11:29,112.0
Tue,6,6,17,New London,12:39,13:09,343.0
Tue,6,7,68,Groton,13:20,13:50,81.0
Tue,6,8,29,Groton,13:59,14:29,199.0
Tue,6,9,27,East Providence,15:51,16:39,1594.0
Tue,6,10,0,DC (Wilmington),18:25,,
Tue,7,0,0,DC (Wilmington),,04:58,
Tue,7,1,213,Farmington,08:00,08:30,154.0
Tue,7,2,115,Plainville,08:38,09:08,286.0
Tue,7,3,144,Danbury,10:21,10:51,147.0
Tue,7,4,83,Ridgefield,11:02,11:32,172.0
Tue,7,5,53,Stamford,11:54,12:24,112.0
Tue,7,6,156,Stamford,12:27,12:57,197.0
Tue,7,7,137,New Canaan,13:09,13:39,195.0
Tue,7,8,105,Shelton,14:21,14:51,572.0
Tue,7,9,0,DC (Wilmington),18:46,,
Wed,1,0,0,DC (Wilmington),,07:51,
