day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,07:36,
Mon,1,1,255,Charlestown,08:00,08:30,120.0
Mon,1,2,23,Charlestown,08:30,09:20,1676.0
Mon,1,3,162,Boston,09:23,09:53,106.0
Mon,1,4,244,Boston,09:56,10:26,163.0
Mon,1,5,209,Boston,10:29,10:59,246.0
Mon,1,6,28,Boston,11:01,11:31,85.0
Mon,1,7,70,Boston,11:31,12:01,200.0
Mon,1,8,132,North Berwick,13:59,14:29,244.0
Mon,1,9,0,DC (Wilmington),16:16,,
Mon,2,0,0,DC (Wilmington),,04:50,
Mon,2,1,109,Middletown,08:00,08:30,198.0
Mon,2,2,128,Middletown,08:30,09:00,204.0
Mon,2,3,250,Hamden,09:34,10:04,167.0
Mon,2,4,85,Fairfield,10:45,11:15,127.0
Mon,2,5,87,Wilton,11:36,12:06,163.0
Mon,2,6,241,Bethany,13:04,13:34,153.0
Mon,2,7,14,Farmington,14:19,15:04,1479.0
Mon,2,8,104,Hartford,15:19,15:49,124.0
Mon,2,9,0,DC (Wilmington),18:37,,
Mon,3,0,0,DC (Wilmington),,07:48,
Mon,3,1,251,Billerica,08:00,08:30,146.0
Mon,3,2,117,Auburndale,08:58,09:28,161.0
Mon,3,3,178,Brighton,09:38,10:08,165.0
Mon,3,4,90,West Roxbury,10:17,10:47,187.0
Mon,3,5,237,Groton,13:06,13:36,148.0
Mon,3,6,207,Groton,13:36,14:06,145.0
Mon,3,7,120,New London,14:14,14:44,124.0
Mon,3,8,76,New London,14:44,15:14,631.0
Mon,3,9,40,Colchester,15:50,16:20,213.0
Mon,3,10,180,Bolton,16:47,17:17,159.0
Mon,3,11,217,Storrs Mansfield,17:38,18:08,220.0
Mon,3,12,0,DC (Wilmington),20:29,,
Mon,4,0,0,DC (Wilmington),,07:27,
Mon,4,1,188,Weston,08:00,08:30,127.0
Mon,4,2,32,Weston,08:30,09:00,152.0
Mon,4,3,201,Marlborough,09:19,09:49,124.0
Mon,4,4,20,Westborough,10:04,10:34,111.0
