day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,07:43,
Mon,1,1,4,North Andover,08:00,08:30,111.0
Mon,1,2,66,Wenham,08:51,09:21,197.0
Mon,1,3,252,Salem,09:33,10:03,181.0
Mon,1,4,8,Lynn,10:13,10:43,100.0
Mon,1,5,23,Charlestown,11:00,11:50,1676.0
Mon,1,6,196,Winchester,12:01,12:31,250.0
Mon,1,7,1,Woburn,12:37,13:07,333.0
Mon,1,8,5,Reading,13:14,13:44,206.0
Mon,1,9,0,DC (Wilmington),13:53,,
Mon,2,0,0,DC (Wilmington),,08:00,
Mon,2,1,7,Wilmington,08:00,08:30,491.0
Mon,2,2,25,Waltham,08:58,10:17,2614.0
Mon,2,3,0,DC (Wilmington),10:45,,
Mon,3,0,0,DC (Wilmington),,07:35,
Mon,3,1,28,Boston,08:00,08:30,85.0
Mon,3,2,47,Boston,08:32,09:02,121.0
Mon,3,3,24,Rockland,09:33,10:35,2077.0
Mon,3,4,232,Weymouth,10:47,11:17,146.0
Mon,3,5,77,Boston,11:41,12:11,157.0
Mon,3,6,72,Boston,12:14,12:44,199.0
Mon,3,7,0,DC (Wilmington),13:10,,
Mon,4,0,0,DC (Wilmington),,07:42,
Mon,4,1,38,Medford,08:00,08:30,143.0
Mon,4,2,99,Cambridge,08:38,09:08,172.0
Mon,4,3,174,Waltham,09:19,09:49,182.0
Mon,4,4,26,Wellesley Hills,09:57,10:27,409.0
Mon,4,5,117,Auburndale,10:33,11:03,161.0
Mon,4,6,178,Brighton,11:12,11:42,165.0
Mon,4,7,10,Boston,11:48,12:18,203.0
Mon,4,8,131,Allston,12:21,12:51,142.0
Mon,4,9,9,Cambridge,12:52,13:22,182.0
Mon,4,10,42,Boston,13:26,13:56,135.0
Mon,4,11,79,Boston,13:57,14:27,148.0
Mon,4,12,82,Boston,14:29,14:59,161.0
Mon,4,13,33,Boston,15:00,15:30,247.0
Mon,4,14,202,Boston,15:32,16:02,121.0
Mon,4,15,31,Cambridge,16:05,16:35,173.0
Mon,4,16,0,DC (Wilmington),17:02,,
Mon,5,0,0,DC (Wilmington),,06:45,
Mon,5,1,139,Duxbury,08:00,08:30,176.0
Mon,5,2,259,North Dartmouth,09:34,10:04,131.0
Mon,5,3,205,Newport,10:45,11:15,366.0
Mon,5,4,233,Exeter,11:47,12:17,151.0
Mon,5,5,65,Smithfield,13:08,13:38,212.0
Mon,5,6,62,Providence,13:52,14:22,241.0
Mon,5,7,12,East Providence,14:27,14:57,608.0
Mon,5,8,154,Norton,15:27,15:57,345.0
Mon,5,9,90,West Roxbury,16:41,17:11,187.0
Mon,5,10,221,Chestnut Hill,17:15,17:45,143.0
Mon,5,11,0,DC (Wilmington),18:29,,
Mon,6,0,0,DC (Wilmington),,06:35,
Mon,6,1,234,Dover,08:00,08:30,237.0
Mon,6,2,132,North Berwick,08:54,09:24,244.0
Mon,6,3,181,Parsonsfield,10:22,10:52,243.0
Mon,6,4,182,Rumford,12:54,13:24,140.0
Mon,6,5,84,Westbrook,15:09,15:39,175.0
Mon,6,6,110,Portland,15:50,16:20,177.0
Mon,6,7,0,DC (Wilmington),18:48,,
Tue,1,0,0,DC (Wilmington),,07:27,
Tue,1,1,11,Weston,08:00,09:35,3153.0
Tue,1,2,0,DC (Wilmington),10:08,,
Tue,2,0,0,DC (Wilmington),,07:43,
Tue,2,1,22,North Andover,08:00,08:30,286.0
Tue,2,2,176,Bedford,09:06,09:36,226.0
Tue,2,3,173,Medford,09:58,10:28,96.0
Tue,2,4,59,Charlestown,10:36,11:06,187.0
Tue,2,5,92,Boston,11:09,11:39,226.0
Tue,2,6,209,Boston,11:41,12:11,246.0
Tue,2,7,0,DC (Wilmington),12:38,,
Tue,3,0,0,DC (Wilmington),,05:39,
Tue,3,1,106,Storrs Mansfield,08:00,08:30,186.0
Tue,3,2,180,Bolton,08:51,09:21,159.0
Tue,3,3,88,Manchester,09:30,10:00,131.0
Tue,3,4,50,Glastonbury,10:08,10:38,131.0
Tue,3,5,40,Colchester,11:08,11:38,213.0
Tue,3,6,17,New London,12:13,12:43,343.0
Tue,3,7,29,Groton,12:51,13:21,199.0
