day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,07:32,
Mon,1,1,244,Boston,08:00,08:30,163.0
Mon,1,2,77,Boston,08:30,09:00,157.0
Mon,1,3,185,Boston,09:03,09:33,158.0
Mon,1,4,209,Boston,09:33,10:03,246.0
Mon,1,5,38,Medford,10:14,10:44,143.0
Mon,1,6,173,Medford,10:44,11:14,96.0
Mon,1,7,196,Winchester,11:18,11:48,250.0
Mon,1,8,0,DC (Wilmington),12:05,,
Mon,2,0,0,DC (Wilmington),,07:33,
Mon,2,1,103,Boston,08:00,08:30,130.0
Mon,2,2,51,Boston,08:30,09:00,135.0
Mon,2,3,33,Boston,09:00,09:30,247.0
Mon,2,4,215,Boston,09:36,10:06,178.0
Mon,2,5,124,Boston,10:06,10:36,160.0
Mon,2,6,10,Boston,10:36,11:06,203.0
Mon,2,7,34,Boston,11:06,11:36,301.0
Mon,2,8,190,Boston,11:36,12:06,140.0
Mon,2,9,131,Allston,12:09,12:39,142.0
Mon,2,10,9,Cambridge,12:41,13:11,182.0
Mon,2,11,97,Cambridge,13:11,13:41,203.0
Mon,2,12,163,Cambridge,13:41,14:11,119.0
Mon,2,13,186,Cambridge,14:11,14:41,131.0
Mon,2,14,210,Cambridge,14:41,15:11,401.0
Mon,2,15,31,Cambridge,15:12,15:42,173.0
Mon,2,16,46,Cambridge,15:42,16:12,137.0
Mon,2,17,71,Cambridge,16:12,16:42,164.0
Mon,2,18,0,DC (Wilmington),17:09,,
Mon,3,0,0,DC (Wilmington),,07:33,
Mon,3,1,141,Boston,08:00,08:30,123.0
Mon,3,2,73,Boston,08:30,09:00,120.0
Mon,3,3,47,Boston,09:00,09:30,121.0
Mon,3,4,24,Rockland,10:02,11:04,2077.0
Mon,3,5,259,North Dartmouth,12:19,12:49,131.0
Mon,3,6,90,West Roxbury,14:14,14:44,187.0
Mon,3,7,221,Chestnut Hill,14:49,15:19,143.0
Mon,3,8,178,Brighton,15:23,15:53,165.0
Mon,3,9,260,Brighton,15:53,16:23,132.0
Mon,3,10,0,DC (Wilmington),16:58,,
Mon,4,0,0,DC (Wilmington),,07:35,
Mon,4,1,242,Cambridge,08:00,08:30,109.0
Mon,4,2,187,Cambridge,08:30,09:00,143.0
Mon,4,3,99,Cambridge,09:00,09:30,172.0
Mon,4,4,211,Cambridge,09:30,10:00,141.0
Mon,4,5,239,Cambridge,10:06,10:36,122.0
Mon,4,6,95,Cambridge,10:36,11:06,114.0
Mon,4,7,236,Boston,11:10,11:40,221.0
Mon,4,8,158,Boston,11:40,12:10,170.0
Mon,4,9,91,Boston,12:10,12:40,250.0
Mon,4,10,42,Boston,12:40,13:10,135.0
Mon,4,11,69,Boston,13:10,13:40,141.0
Mon,4,12,118,Boston,13:40,14:10,117.0
Mon,4,13,183,Boston,14:10,14:40,203.0
Mon,4,14,79,Boston,14:42,15:12,148.0
Mon,4,15,169,Boston,15:12,15:42,202.0
Mon,4,16,82,Boston,15:43,16:14,161.0
Mon,4,17,122,Boston,16:15,16:45,283.0
Mon,4,18,189,Boston,16:45,17:15,123.0
Mon,4,19,245,Boston,17:15,17:45,227.0
Mon,4,20,0,DC (Wilmington),18:12,,
Tue,1,0,0,DC (Wilmington),,07:43,
Tue,1,1,22,North Andover,08:00,08:30,286.0
Tue,1,2,4,North Andover,08:30,09:00,111.0
Tue,1,3,3,Lawrence,09:09,09:39,903.0
Tue,1,4,195,Merrimack,10:30,11:00,319.0
Tue,1,5,199,Manchester,11:18,11:48,197.0
Tue,1,6,56,Manchester,11:52,12:22,94.0
Tue,1,7,136,Manchester,12:28,12:58,257.0
Tue,1,8,234,Dover,13:54,14:24,237.0
Tue,1,9,66,Wenham,15:38,16:08,197.0
Tue,1,10,252,Salem,16:19,16:49,181.0
Tue,1,11,8,Lynn,17:00,17:30,100.0
Tue,1,12,0,DC (Wilmington),18:00,,
Tue,2,0,0,DC (Wilmington),,07:51,
Tue,2,1,6,Tewksbury,08:00,09:21,2699.0
Tue,2,2,135,Tewksbury,09:21,09:51,101.0
Tue,2,3,0,DC (Wilmington),10:00,,
Tue,3,0,0,DC (Wilmington),,06:13,
Tue,3,1,132,North Berwick,08:00,08:30,244.0
Tue,3,2,181,Parsonsfield,09:28,09:58,243.0
Tue,3,3,182,Rumford,12:00,12:30,140.0
Tue,3,4,84,Westbrook,14:15,14:45,175.0
Tue,3,5,170,Portland,14:56,15:26,188.0
Tue,3,6,110,Portland,15:26,15:56,177.0
Tue,3,7,151,Portland,15:56,16:26,105.0
Tue,3,8,222,Portland,16:26,16:56,105.0
Tue,3,9,0,DC (Wilmington),19:24,,
Tue,4,0,0,DC (Wilmington),,07:35,
Tue,4,1,206,Boston,08:00,08:30,176.0
Tue,4,2,159,Boston,08:30,09:00,119.0
Tue,4,3,70,Boston,09:00,09:30,200.0
Tue,4,4,28,Boston,09:30,10:00,85.0
Tue,4,5,43,Boston,10:00,10:30,152.0
