day,route_number,stop_sequence,order_id,location,arrival_time,departure_time,delivery_volume_cuft
Mon,1,0,0,DC (Wilmington),,07:42,
Mon,1,1,38,Medford,08:00,08:30,143.0
Mon,1,2,72,Boston,08:39,09:09,199.0
Mon,1,3,31,Cambridge,09:12,09:42,173.0
Mon,1,4,82,Boston,09:45,10:15,161.0
Mon,1,5,232,Weymouth,10:38,11:08,146.0
Mon,1,6,24,Rockland,11:20,12:22,2077.0
Mon,1,7,47,Boston,12:53,13:23,121.0
Mon,1,8,28,Boston,13:25,13:55,85.0
Mon,1,9,0,DC (Wilmington),14:20,,
Mon,2,0,0,DC (Wilmington),,07:47,
Mon,2,1,1,Woburn,08:00,08:30,333.0
Mon,2,2,23,Charlestown,08:45,09:35,1676.0
Mon,2,3,7,Wilmington,09:59,10:29,491.0
Mon,2,4,0,DC (Wilmington),10:29,,
Mon,3,0,0,DC (Wilmington),,06:45,
Mon,3,1,139,Duxbury,08:00,08:30,176.0
Mon,3,2,259,North Dartmouth,09:34,10:04,131.0
Mon,3,3,205,Newport,10:45,11:15,366.0
Mon,3,4,233,Exeter,11:47,12:17,151.0
Mon,3,5,65,Smithfield,13:08,13:38,212.0
Mon,3,6,62,Providence,13:52,14:22,241.0
Mon,3,7,12,East Providence,14:27,14:57,608.0
Mon,3,8,154,Norton,15:27,15:57,345.0
Mon,3,9,26,Wellesley Hills,16:48,17:18,409.0
Mon,3,10,117,Auburndale,17:24,17:54,161.0
Mon,3,11,174,Waltham,17:59,18:29,182.0
Mon,3,12,0,DC (Wilmington),19:05,,
Mon,4,0,0,DC (Wilmington),,07:32,
Mon,4,1,25,Waltham,08:00,09:18,2614.0
Mon,4,2,0,DC (Wilmington),09:47,,
Mon,5,0,0,DC (Wilmington),,07:43,
Mon,5,1,4,North Andover,08:00,08:30,111.0
Mon,5,2,234,Dover,09:43,10:13,237.0
Mon,5,3,132,North Berwick,10:38,11:08,244.0
Mon,5,4,181,Parsonsfield,12:06,12:36,243.0
Mon,5,5,182,Rumford,14:38,15:08,140.0
Mon,5,6,84,Westbrook,16:52,17:22,175.0
Mon,5,7,110,Portland,17:33,18:03,177.0
Mon,5,8,0,DC (Wilmington),20:32,,
Mon,6,0,0,DC (Wilmington),,07:43,
Mon,6,1,196,Winchester,08:00,08:30,250.0
Mon,6,2,99,Cambridge,08:39,09:09,172.0
Mon,6,3,9,Cambridge,09:12,09:42,182.0
Mon,6,4,10,Boston,09:47,10:17,203.0
Mon,6,5,131,Allston,10:20,10:50,142.0
Mon,6,6,178,Brighton,10:54,11:24,165.0
Mon,6,7,221,Chestnut Hill,11:28,11:58,143.0
Mon,6,8,90,West Roxbury,12:03,12:33,187.0
