run,day,route_num,orders,n_stops,miles,cube,duty_hrs,feasible
0,Mon,1,"[28, 70, 209, 244, 90, 117, 178, 162, 255, 23]",10,69,3109,7.063,True
0,Mon,2,"[188, 32, 201, 20, 67, 251]",6,172,762,7.3,True
0,Mon,3,"[132, 175, 258]",3,483,569,13.575,True
0,Mon,4,"[168, 15, 104, 223, 58, 80, 45, 155, 180, 76, 120, 207, 237, 217]",14,322,2741,15.05,True
0,Mon,5,"[152, 192, 14, 241, 85, 87, 250, 109, 128, 40]",10,399,3042,15.214,True
0,Tue,1,"[4, 22, 66, 176, 78, 108, 7]",7,67,1718,5.175,True
0,Tue,2,"[8, 92, 72, 140, 71, 239, 42, 33, 122, 34, 211, 187, 221, 26, 212]",15,88,2863,9.7,True
0,Tue,3,"[68, 101, 49, 243, 29, 10, 186, 163, 9, 51]",10,262,1498,11.55,True
0,Tue,4,"[107, 125, 18, 153, 224, 60, 105, 74, 150, 57, 50]",11,420,2443,16.0,True
0,Tue,5,"[88, 121, 254, 235, 216, 148, 177, 52, 39, 179, 133]",11,308,2206,13.2,True
0,Tue,6,"[234, 181, 182, 146]",4,447,809,13.175,True
0,Wed,1,[6],1,12,2699,1.649,True
0,Wed,2,"[13, 225, 200, 65, 62, 27, 12, 37]",8,279,3188,11.272,True
0,Wed,3,"[54, 261, 171, 257, 53, 156, 48, 115, 123, 246, 248, 238]",12,402,2690,16.05,True
0,Wed,4,"[135, 138, 116, 149, 260, 73, 43, 96, 173, 38, 1]",11,100,1643,8.0,True
0,Wed,5,"[205, 233, 106, 193, 167, 35, 253, 55, 220, 81, 231]",11,352,1792,14.3,True
0,Wed,6,"[240, 158, 91, 139, 24, 77, 206]",7,110,3180,6.788,True
0,Thu,1,"[5, 159, 141, 202, 103, 245, 69, 118, 190, 124, 215, 97, 31]",13,54,2038,7.85,True
0,Thu,2,"[21, 84, 170, 151, 222]",5,220,1969,8.198,True
0,Thu,3,[25],1,38,2614,2.257,True
0,Thu,4,"[36, 102, 166, 93, 160, 259, 154, 229, 219]",9,361,2016,13.525,True
0,Thu,5,"[127, 61, 134, 119, 63, 256, 197, 137, 147, 227, 247, 214]",12,422,2115,16.55,True
0,Thu,6,"[136, 86, 218, 194, 56, 199, 195, 113]",8,267,1528,10.675,True
0,Thu,7,"[196, 99, 95, 46, 184, 185, 232, 79, 183, 189, 210, 131, 100, 142, 75]",15,97,2729,9.925,True
0,Fri,1,[11],1,44,3153,2.676,True
0,Fri,2,"[98, 164, 112, 226, 64, 129, 157, 19, 83, 144, 172, 111]",12,418,2634,16.45,True
0,Fri,3,"[114, 94, 30, 161, 145, 16, 41, 213, 204, 143, 17, 44]",12,344,2458,14.6,True
0,Fri,4,"[110, 3, 59, 208, 47, 82, 169, 236, 252, 126, 2]",11,277,3044,12.425,True
0,Fri,5,"[230, 191, 203, 89, 130, 198, 228, 249, 165, 174, 242]",11,190,2179,10.25,True
1,Mon,1,"[255, 23, 178, 162, 244, 209, 70, 28]",8,51,2761,5.613,True
