run,weekly_miles,mean,ci_low,ci_high
0,7024,7026.28,7003.2,7049.4
1,7009,7026.28,7003.2,7049.4
2,7025,7026.28,7003.2,7049.4
3,7042,7026.28,7003.2,7049.4
4,7162,7026.28,7003.2,7049.4
5,6991,7026.28,7003.2,7049.4
6,7098,7026.28,7003.2,7049.4
7,7151,7026.28,7003.2,7049.4
8,7209,7026.28,7003.2,7049.4
9,7016,7026.28,7003.2,7049.4
10,7061,7026.28,7003.2,7049.4
11,6965,7026.28,7003.2,7049.4
12,6939,7026.28,7003.2,7049.4
13,6996,7026.28,7003.2,7049.4
14,6901,7026.28,7003.2,7049.4
15,6930,7026.28,7003.2,7049.4
16,7013,7026.28,7003.2,7049.4
17,7191,7026.28,7003.2,7049.4
18,6938,7026.28,7003.2,7049.4
19,7019,7026.28,7003.2,7049.4
20,6972,7026.28,7003.2,7049.4
21,7008,7026.28,7003.2,7049.4
22,6910,7026.28,7003.2,7049.4
23,7145,7026.28,7003.2,7049.4
24,6976,7026.28,7003.2,7049.4
25,6958,7026.28,7003.2,7049.4
26,7163,7026.28,7003.2,7049.4
27,7013,7026.28,7003.2,7049.4
28,7005,7026.28,7003.2,7049.4
29,6943,7026.28,7003.2,7049.4
30,7024,7026.28,7003.2,7049.4
31,7024,7026.28,7003.2,7049.4
32,7113,7026.28,7003.2,7049.4
33,7085,7026.28,7003.2,7049.4
34,7006,7026.28,7003.2,7049.4
35,6941,7026.28,7003.2,7049.4
36,6963,7026.28,7003.2,7049.4
37,7084,7026.28,7003.2,7049.4
38,7031,7026.28,7003.2,7049.4
39,6934,7026.28,7003.2,7049.4
40,6924,7026.28,7003.2,7049.4
41,7183,7026.28,7003.2,7049.4
42,7064,7026.28,7003.2,7049.4
43,6989,7026.28,7003.2,7049.4
44,7007,7026.28,7003.2,7049.4
45,6964,7026.28,7003.2,7049.4
46,6972,7026.28,7003.2,7049.4
47,6951,7026.28,7003.2,7049.4
48,7154,7026.28,7003.2,7049.4
49,7128,7026.28,7003.2,7049.4
